UF;Raça/Cor;Situação do Domicílio;Tipo de família;Famílias
Maranhão;Todas as Raças;Todas as situações;Outros;81257
Maranhão;Todas as Raças;Todas as situações;Unipessoal;91998
Maranhão;Todas as Raças;Todas as situações;Casal com filhas/os;256822
Maranhão;Todas as Raças;Todas as situações;Casal sem filhas/os;84324
Maranhão;Branca;Todas as situações;Outros Tipos;157924
Maranhão;Negra;Todas as situações;Outros Tipos;739011
Maranhão;Outras;Todas as situações;Outros Tipos;4599
Maranhão;Todas as Raças;Rural;Outros Tipos;285947
Maranhão;Todas as Raças;Urbana;Outros Tipos;615587
Mato Grosso;Todas as Raças;Todas as situações;Unipessoal;70694
Mato Grosso;Todas as Raças;Todas as situações;Outros;24423
Mato Grosso;Todas as Raças;Todas as situações;Casal com filhas/os;119536
Mato Grosso;Todas as Raças;Todas as situações;Todos os tipos;407006
Mato Grosso;Todas as Raças;Todas as situações;Casal sem filhas/os;56556
Mato Grosso;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;135797
Mato Grosso;Branca;Todas as situações;Outros Tipos;138808
Mato Grosso;Negra;Todas as situações;Outros Tipos;263058
Mato Grosso;Outras;Todas as situações;Outros Tipos;5140
Mato Grosso;Todas as Raças;Rural;Outros Tipos;32995
Mato Grosso;Todas as Raças;Urbana;Outros Tipos;374011
Mato Grosso do Sul;Todas as Raças;Todas as situações;Casal com filhas/os;83035
Mato Grosso do Sul;Todas as Raças;Todas as situações;Unipessoal;62788
Mato Grosso do Sul;Todas as Raças;Todas as situações;Todos os tipos;352753
Mato Grosso do Sul;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;143293
Mato Grosso do Sul;Todas as Raças;Todas as situações;Outros;26130
Mato Grosso do Sul;Todas as Raças;Todas as situações;Casal sem filhas/os;37507
Mato Grosso do Sul;Branca;Todas as situações;Outros Tipos;148352
Mato Grosso do Sul;Negra;Todas as situações;Outros Tipos;195971
Mato Grosso do Sul;Outras;Todas as situações;Outros Tipos;8430
Mato Grosso do Sul;Todas as Raças;Rural;Outros Tipos;13909
Mato Grosso do Sul;Todas as Raças;Urbana;Outros Tipos;338844
Minas Gerais;Todas as Raças;Todas as situações;Casal sem filhas/os;232277
Minas Gerais;Todas as Raças;Todas as situações;Outros;187152
Minas Gerais;Todas as Raças;Todas as situações;Unipessoal;533515
