"CÓDIGO DO
IBGE";MUNICÍPIO;UF;NOME DA UNIDADE;ENDEREÇO ;RESPONSÁVEL
293290;VALENÇA;BA;Centro de Referência de Atendimento as Mulheres Vítimas de Violência (CRAM) - Valença   ;Praça 2 de Julho, nº 14;Municipal
293330;VITÓRIA DA CONQUISTA;BA;Centro de Referência da Mulher (CRM) Albertina Vasconcelos - Vitória da Conquista;Avenida Jesiel Norberto, nº 40;Municipal
291560;ITAMARAJU;BA;Centro Especializado de Atendimento à Mulher - Itamaraju;BR 101 Km 808, nº 1130 ;Particular
293135;TEIXEIRA DE FREITAS ;BA;Centro de Referência de Atendimento à Mulher Verônika Lind;Rua Águas Claras, nº 384, Bela Vista. Teixeira de Freitas - Bahia;Estadual
230240;BOA VIAGEM;CE;Centro de Referência da Mulher (CRM) Francisca Ivani Cipó Ramalho - Boa Viagem  ;Rua Teófilo Amaro, nº 367 ;Municipal
230440;FORTALEZA;CE;Centro de Referência e Atendimento à Mulher em Situação de Violência Francisca Clotilde - Fortaleza ;Rua João Tomé, nº 261;Municipal
230440;FORTALEZA;CE;Centro Estadual de Referência e Apoio à Mulher (CERAM) - Fortaleza  ;Rua Padre Francisco Pinto, nº 363 Referência: próximo a Fármacia Santa Branca;Estadual
230550;IGUATU;CE;Centro de Referência de Atendimento à Mulher (CRAM) Valquíria Correia Martins - Iguatu   ;Rua Guilhardo Gomes de Araujo, s/nº ;Municipal
230640;ITAPIPOCA;CE;Centro de Referência de Atendimento à Mulher (CRAM) - Itapipoca ;Rua Anastácio Braga, nº 1437;Municipal
230730;JUAZEIRO DO NORTE;CE;Centro de Referência Regional da Mulher (CRRM) - Juazeiro do Norte  ;Rua Santa Luzia,nº 1660;Municipal
230760;LIMOEIRO DO NORTE;CE;Centro de Referência de Atendimento à Mulher (CRAM) Márcia Lúcia de Moura Oliveira - Limoeiro do Norte;Rua Coronel José Nunes, s/nº Referência: Ao lado da Secretaria de Assistência Social;Municipal
230770;MARANGUAPE;CE;Centro de Referência da Mulher (CRM) - Maranguape  ;Rua Abreu Costa, n° 102 - Referência: próximo ao Hospital Gonzaguinha de Maranguape;Municipal
230810;MAURITI;CE;Centro de Referência e Atenção à Mulher (CRAM) - Mauriti  ;Rua Capitão Miguel Dantas, s/nº  Referência: Próximo ao Fórum;Municipal
231130;QUIXADÁ;CE;Centro de Referência da Mulher e Cidadania - Quixadá  ;Rua José Jucá, nº 110;Municipal
231160;REDENÇÃO;CE;Centro de Referência da Mulher (CRM) Helena da Silva Matos - Redenção;Rua Santa Rita, nº 491;Municipal
231330;TAUÁ;CE;Centro de Referência da Mulher (CRM) Maria Neide Gomes Jataí - Tauá  ;Avenida José Valdemar Rêgo, nº 556 ;Municipal
231340;TIANGUÁ;CE;Centro de Referência da Mulher (CRM) - Tianguá  ;Rua Sargento Evaldo, s/nº  Referência: vizinha a antiga Casa da Cultura e próximo ao DETRAN;Municipal
231410;VIÇOSA DO CEARÁ;CE;Centro de Referencia Especializado no Atendimento a Mulher em Situação de Violência (CREAM) - Viçosa do Ceará  ;Loteamento Manuel Joana, s/nº - Referência : Antigo Sítio do Comum;Municipal
230700;JAGUARUANA;CE;Núcleo de Atendimento de Enfrentamento a Violência contra a Mulher - Jaguaruana;Rua Coronel Raimundo Francisco, nº 1402  ;Municipal
530010;BRASÍLIA;DF;Centro Especializado de Atendimento a Mulher (CEAM) - Brasilia;Estação do Metrô da 102 Sul -Referência: Dentro da Estação do Metrô  ;Estadual
530010;BRASÍLIA;DF;Centro Especializado de Atendimento a Mulher (CEAM) - S.I.A;SIA Trecho 2 Lote 2075 a 2115 - Térreo - Referência : Final da Rua da CIMFEL em frente ao Posto Ipiranga;Estadual
530010;BRASÍLIA;DF;Centro Especializado de Atendimento à Mulher (CEAM) - Planaltina ;Jardim Roriz -  Àrea Especial - Entre Quadras 1 e 2 ;Estadual
530010;BRASÍLIA;DF;Centro Especializado de Atendimento à Mulher (CEAM) - Ceilândia ;QNM 02 Conjunto F Lotes 1/3 ;Estadual
320120;CACHOEIRO DE ITAPEMERIM;ES;Centro de Referência de Atendimento à Mulher (CRAM) - Cachoeiro de Itapemirim ;Riviera da Luz, s/nº - Referência: Próximo ao Pavilhão da Ilha da Luz  - ilha da Luz ;Municipal
320520;VILHA VELHA;ES;Centro Integrado da Mulher (CIM) - Vila Velha;Rua Cabo Ailson Simões - Edifício Central Park, 536 – 1º andar   Centro ;Estadual
520540;CERES;GO;Centro Regional de Referência da Mulher (CRRM) - Ceres   ;Rua 31, Praça da Feira;Municipal
520870;GOIÂNIA;GO;Centro de Referência da Mulher Cora Coralina - Goiânia ;Rua 16 A, nº 350;Municipal
520890;GOIÁS;GO;Centro Especializado de Atendimento à Mulher (CEAM) Brasilete Ramos Caiado - Goiás ;Rua Senador Caiado com a Travessa Marques Tocantins, nº 01 D;Municipal
521180;JARAGUÁ;GO;Núcleo de Atendimento as Mulheres em Estado de Risco - Casa da Mulher - Jaraguá  ;Avenida Coronel Tubertino Rios, nº 345;Municipal
521930;"SANTA HELENA DE 
GOIÁS";GO;Centro de Referência de Atendimento à Mulher (CRAM) - Santa Helena de Goiás;Rua Duplanil Faria de Souza, nº 292;Municipal
522160;URUAÇU;GO;Centro de Referência da Mulher - Uruaçu;Rua Carioca Quadra 7 Lote 4 ;Municipal
211130;SÃO LUÍS;MA;Centro de Referência de Atendimento à Mulher em Situação de Violência (CRAM) Casa da Mulher - São Luís    ;Avenida Beira Mar, nº 524;Municipal
210300;CAXIAS;MA;"Centro de Referência de Atendimento à Mulher (CREAM) - Mais Mulher - Caxias   
";Rua Riachuelo, nº 189;Municipal
210530;IMPERATRIZ;MA;Centro de Referência de Atendimento à Mulher (CRAM) - Imperatriz  ;"Rua Benedito Leite, nº 719 Entre a Rua Souza Lima e a Rua Amazonas 
";Municipal
210005;AÇAILÂNDIA;MA;Centro de Referência e Atendimento à Mulher em Situação de Violência – (CRAM)  Açailândia;Avenida Edilson Caridade Ribeiro, s/nº;Municipal
211040;SÃO BENEDITO DO RIO PRETO;MA;Núcleo de Assistência à Mulher - São Benedito do Rio Preto;Rua do Prado, 140 ;Municipal
310620;BELO HORIZONTE;MG;Benvinda Centro de Apoio à Mulher - Belo Horizonte;Rua Hermilo Alves, nº 34 - Referência: Esquina da Avenida do Contorno ;Municipal
310620;BELO HORIZONTE;MG;Centro Risoleta Neves de Atendimento (CERNA) - Belo Horizonte;Avenida Amazonas, nº 558 ;Estadual
310930;BURITIS;MG;Centro de Referência da Mulher (CRM) - Buritis;Avenida Nossa Senhora da Pena, nº 500 - Referência: Em frente à Igreja Matriz Santa Luzia  ;Municipal
