"CÓDIGO DO
IBGE";MUNICÍPIO;UF;NOME DA UNIDADE;ENDEREÇO ;RESPONSÁVEL
330455;RIO DE JANEIRO;RJ;Centro Especializado de Atendimento à Mulher (CEAM) Chiquinha Gonzaga - Rio de Janeiro ;Rua Benedito Hipólito, nº 125, Praça Onze  ;Municipal
330455;RIO DE JANEIRO;RJ;Centro de Referência de Mulheres da Maré (CRMM-CR) Carminha Rosa - Rio de Janeiro  ;Rua 17, s/nº, Vila do João - Referência: Anexo do Posto de Saúde ;Federal
330455;RIO DE JANEIRO;RJ;Casa da Mulher de Manguinhos - Rio de Janeiro ;Avenida Dom Hélder Câmara, n° 1184;Municipal
330455;RIO DE JANEIRO;RJ;Centro Integrado de Atendimento à Mulher (CIAM) Márcia Lyra - Centro - Rio de Janeiro;Rua Regente Feijó, nº 15 - Referência: Próximo à Praça Tiradentes;Estadual
330490;SÃO GONÇALO;RJ;Centro Especial de Orientação à Mulher (CEOM) Patrícia Acioli - São Gonçalo;Avenida Doutor Albino Imparato, Quadra 105, Lote 16 - Referência: Loteamento Velho em Frente a Praça da Lona e ao Lado DPO (Delegacia de Polícia Ostensiva). ;Municipal
330490;SÃO GONÇALO;RJ;Centro Especial de Orientação à Mulher (CEOM) Zuzu Angel - São Gonçalo ;Rua Camilo Fernandes Moreira, s/nº ;Municipal
330510;SÃO JOÃO DE MERITI;RJ;Centro Especializado de Atendimento à Mulher (CEAM) - São João de Meriti ;"Rua Defensor Público Zilmar Pinaud, nº 122 - Referência: Em frente ao estacionamento da Câmara Municipal 

";Municipal
330550;SAQUAREMA;RJ;Centro de Referência de Atendimento a Mulher (CRAM) - Saquarema;Rua Valdomiro Diogo de Oliveira, nº 476 - Referência: Funciona no mesmo endereço da Secretaria Municipal de Políticas Públicas para Mulheres ;Municipal
330555;SEROPÉDICA;RJ;Núcleo Integrado de Atendimento a Mulher (NIAM) - Seropédica ;Estrada Rio São Paulo, nº 26;Municipal
330560;SILVA JARDIM;RJ;Centro de Referência da Mulher (CRM) - Silva Jardim;Rua Sansão Pedro Davi, s/nº - Referência: funciona no prédio da Promoção Social ;Municipal
330575;TANGUÁ;RJ;Centro de Referência e Atendimento à Mulher (CRAM) Maria Rita Ferreira da Silva - Tanguá ;Rua Demerval Garcia de Freitas, n° 112;Municipal
330580;TERESÓPOLIS;RJ;Centro Especializado de Atendimento à Mulher (CEAM) - Teresópolis ;Avenida Lúcio Meira, 375;Municipal
330630;VOLTA REDONDA;RJ;Casa da Mulher Bertha Lutz - Volta Redonda;Rua 539, nº 456 ;Municipal
330414;QUEIMADOS;RJ;Centro Especializado de Atendimento a Mulher (CEAM) – Queimados ;Estrada do Lazareto, nº 85;Estadual
240800;MOSSORÓ;RN;Centro de Referência da Mulher - Mossoró ;Rua Raimundo Firmino de Oliveira, s/nº  ;Municipal
240810;NATAL;RN;Casa da Mulher - Centro de Referência Elisabeth Nasser - Natal ;Avenida Acaraú, nº 2118, Conjunto Panatis I, Zona Norte - Referência: Próximo ao Colégio Mundial ;Municipal
110020;PORTO VELHO;RO;Centro de Referência para Atendimento às Mulheres Vítimas de Violência Doméstica e Familiar - Sonho de Liberdade - Porto Velho  ;Rua Antonio Lourenço Pereira Lima (Antiga Rua Venezuela), 2360  Referencia Ao lado Maternidade Municipal Mãe Esperança  Edifício Espaço Mulher;Municipal
110030;VILHENA;RO;Centro de Atendimento à Mulher (CAM);Avenida Carmelita dos Anjos, nº 6405 (Em Frente à Escola Maria Arlete) ;Municipal
140045;PACARAIMA;RR;Centro de Acolhimento às Mulheres Migrantes Vítimas de Violência - Pacaraima;Rua Monte Roraima s/nº  Centro ;Municipal
430160;BAGÉ;RS;Centro de Referência da Mulher (CRM) - Bagé;"Rua General João Teles, nº 864; Referência: Antiga Comagelã.";Municipal
430165;BARÃO;RS;Centro de Referencia da Mulher (CRM) - Barão;Rua da Estação, nº 1411;Municipal
430210;BENTO GONÇALVES;RS;Centro de Referência à Mulher em Situação de Violência (REVIVI) - Bento Gonçalves;"Rua Assis Brasil Número 94, térreo; Referência: Próximo à Igreja Santo Antônio.";Municipal
430460;CANOAS;RS;Centro de Referência as Mulheres Vítimas de Violência (CRM) Patrícia Esber – Canoas  ;Rua Siqueira Campos, nº 321 - Referência:Próximo à estação La Salle do metrô;Municipal
430510;CAXIAS DO SUL;RS;Centro de Referência para Mulher (CRM) – Rompendo Paradigmas - Caxias do Sul;Rua Alfredo Chaves, nº 1333. ;Municipal
430610;CRUZ ALTA;RS;Centro de Referência (CRMM) Maria Mulher – Cruz Alta ;"Rua João Manoel, nº 090; Referência: Ao lado da escola Estadual Gabriel Miranda.";Municipal
430640;DOIS IRMÃOS;RS;Centro de Atendimento à Mulher Vítima de Violência - Multiplicar - Dois Irmãos;Avenida Florestal, nº 511;Municipal
430920;GRAVATAÍ;RS;Centro de Referência de Atendimento à Mulher (CRAM) Casa Lilás ;Rua Coronel Fonseca, nº 410. Referência: Próximo à 1ª DP;Municipal
431033;IMBÉ;RS;Centro de Referência do Trabalho da Mulher - Imbé;Rua Machado de Assis nº 185;Municipal
431080;IVOTI;RS;Centro de Referência da Mulher – Iracy Cidonha Klein - Ivoti;Rua Arthur Augusto Gernhardt nº 800;Municipal
431340;NOVO HAMBURGO;RS;Viva Mulher Centro de Referência e Atendimento – Novo Hamburgo;Avenida Pedro Adams Filho, nº 5836;Municipal
431405;PAROBÉ;RS;Centro de Referência de Atendimento à Mulher (CRAM) Geni Lenyn - Parobé;"Rua Vera Cruz, número 701; Referência: Funciona no mesmo endereço da Coordenadoria da Mulher";Municipal
431490;PORTO ALEGRE;RS;Centro de Referência da Mulher Vânia Araújo Machado - Porto Alegre;"Rua Tuiuti, nº 10     
Referência: esquina com desembargador André da Rocha.";Estadual
431490;PORTO ALEGRE;RS;Centro de Referência de Atendimento á Mulher Municipal - Márcia Calixto - Porto Alegre;Rua Siqueira Campos, número 1184, 16º andar.;Municipal
431720;SANTA ROSA;RS;Centro de Referência Regional de Atendimento à Mulher (CRRM) Dirce Grosz - Santa Rosa;"Rua Buenos Aires, nº 419; Referência: Fica na Vila Militar.";Municipal
431710;SANTANA DO LIVRAMENTO;RS;Centro de Referência de Atendimento à Mulher (CRAM) Professora Deise - Santana do Livramento;Rua dos Andradas, nº 1157. Referência: Próximo a Praça Mauricio Cardoso;Municipal
431740;SANTIAGO;RS;Centro de Referência de Atendimento à Mulher (CRAM) - Santiago;"Rua Silvério Machado, n° 71; Referência: No mesmo pátio do Corpo de Bombeiros.";Municipal
431870;SÃO LEOPOLDO;RS;Centro Jacobina de Atendimento e Apoio à Mulher - São Leopoldo;Praça Tiradentes nº 119;Municipal
431990;SAPIRANGA;RS;Centro de Referência de Atendimento à Mulher (CRAM) Alzira Valesca Lampert Fett - Sapiranga;"Avenida 20 de Setembro, nº 1695; Referência: Próximo ao Cemitério.";Municipal
432180;TRÊS DE MAIO;RS;Centro de Referência da Mulher Flor de Lis (CRM) – Três de Maio;Rua Padre Cacique número 498;Municipal
432250;VACARIA;RS;Centro de Referência para Mulher (CRM) Márcia Santana - Vacaria  ;Rua Ramiro Barcelos, 276;Municipal
432150;TORRES;RS;       CENTRO DE REFERÊNCIA em Atendimento a Mulher  PRISCILA SELAU;av. do riacho igrassul   centro;Municipal
420500;DIONÍSIO CERQUEIRA;SC;Centro de Referência e Assistência às Mulheres Vítimas de Violência Maria Clementina Henli (CRAMV) - Dionísio Cerqueira;"Rua Dom Pedro II número 567; Referência: Ao lado da Secretaria de Assistência Social.";Municipal
420540;FLORIANÓPOLIS;SC;Centro de Referência de Atendimento a Mulher em Situação de Violência (CREMV) - Florianopólis ;"Rua Rui Barbosa, s/nº; Referência: Ao lado da 6ª DP.";Municipal
280060;BARRA DOS COQUEIROS;SE;Centro de Referência da Mulher Neuzice Barreto - Barra dos Coqueiros;Rua A, s/nº,;Municipal
280150;CARMÓPOLIS;SE;Centro de Referência Especializado de Atendimento à Mulher em Situação de Violência (CREAM) - Carmópolis ;Rua Manoel Joventino Magalhães, nº 154 - Referência: Avenida do Hospital Municipal;Municipal
280290;ITABAIANA;SE;Centro de Referência Especializado de Atendimento à Mulher (CREAM) Doutora Josefa Nicilema Santana - Itabaiana ;Avenida 13 de Julho, nº 516, Território Agreste Central ;Municipal
280540;POÇO REDONDO;SE;Centro Regional Especializado de Atendimento à Mulher (CREAM) Maria Isabel da Silva - Poço Redondo;Praça da Matriz, nº 275;Municipal
280570;PROPRIÁ;SE;Centro de Referência Especializado de Atendimento à Mulher (CREAM) Jane Barros - Propriá ;Avenida Grato Cardoso, s/nº;Municipal
2807402;TOBIAS BARRETO;SE;Centro de Referência Especializado de Atendimento à Mulher (CREAM) Emerciana Maria de Menezes – Tobias Barreto ;Rua José Rosa de Oliveira, nº 381 - Referência: Próximo a Praça do Colégio Abelardo ;Municipal
350160;AMERICANA;SP;Centro de Referência da Mulher (CRMA) - Americana  ;Rua Gabriel Idálio Camargo, nº 161;Municipal
350190;AMPARO;SP;Centro de Referência e Atenção à Mulher (CRAM) - Amparo;Rua Prefeito Gustavo de Vasconcelos, nº 137;Municipal
350280;ARAÇATUBA;SP;Centro de Referência da Mulher (CRM) Josymary Aparecida Carranza - Araçatuba;Rua Chiquita Fernandes, nº 615;Municipal
350320;ARARAQUARA;SP;Centro de Referência da Mulher Professora Doutora Heleieth Iara Bongiovani Saffioti - Araraquara;Avenida Benito Barbieri, nº 1215     ;Municipal
350410;ATIBAIA;SP;Centro de Referência de Atendimento à Mulher (CRAM) - Atibaia;Rua Albertina Miele Pires, nº 161;Municipal
350610;BEBEDOURO;SP;Centro de Referência de Atendimento à Mulher Ilda Ramos da Silva (CRAM) - Bebedouro;Avenida Amélia Bernadino Cutrale, nº 2600;Municipal
350950;CAMPINAS;SP;Centro de Referência e Apoio à Mulher (CEAMO) - Campinas;Rua Francisco Alves, nº 112  - Referência: Próximo a Avenida Andrade Neves;Municipal
351300;COTIA;SP;Centro de Referência da Mulher Atenda - Cotia  ;Avenida Luiz Ferreira Gil, nº 362;Municipal
351380;DIADEMA;SP;Centro de Referência de Atendimento à Mulher em Situação de Violência Doméstica - Casa Beth Lobo - Diadema  ;Rua Amélia Eugênia, nº 292;Municipal
351500;EMBU;SP;Centro de Referência da Mulher Inês Israel dos Santos - Embu das Artes;Rua Dona Bernardina, nº 37;Municipal
351880;GUARULHOS;SP;Centro de Referência de Atendimento à Mulher em Situação de Violência Doméstica - Casa das Rosas, Margaridas e Beths - Guarulhos;Rua Francisco Antônio de Miranda, nº 66;Municipal
353440;OSASCO;SP;Centro de Referência da Mulher Vítima de Violência (CRMVV) Márcia Ribeiro - Osasco ;Rua da Saudade, nº 180;Municipal
354260;REGISTRO;SP;Centro de Referência de Atendimento à Mulher em Situação de Violência (CRAM) - Registro;Rua Lúcio Marques, nº 661;Municipal
354330;RIBEIRÃO PIRES;SP;Núcleo de Atenção à Pessoa Vítima de Violência - Ribeirão Pires;Rua Conde de Sarzedas, nº 333;Municipal
354870;SANTO ANDRÉ;SP;Centro de Referência de Atendimento à Mulher em Situação de Violência- Vem Maria- Santo André ;Rua João Fernandes, nº 118;Municipal
354870;SÃO BERNARDO DO CAMPO;SP;Centro de Referência e Apoio a Mulher Márcia Dangremon - São Bernardo do Campo;"Rua Doutor Flaquer, nº 208 - 
2º Andar";Municipal
354890;SÃO CARLOS;SP;"Centro de Referência da Mulher (CRM) - 
São Carlos";Rua 13 de Maio, nº 1732 ;Municipal
354980;SÃO JOSÉ DO RIO PRETO;SP;Centro de Referência e Atendimento à Mulher (CRAM) - São José do Rio Preto  ;Rua Doutor Eduardo Nielsen, nº 420;Municipal
355030;SÃO PAULO;SP;Centro de Defesa e Convivência da Mulher Anastácia - São Paulo;Rua Areia da Ampulheta, nº 101;Municipal
355030;SÃO PAULO;SP;Centro de Cidadania da Mulher de Itaquera - São Paulo;Rua Ibiajara, nº 495;Municipal
355030;SÃO PAULO;SP;Centro de Referência da Mulher Casa 25 de Março - São Paulo;Rua 25 de Março, nº 205;Municipal
355030;SÃO PAULO;SP;Centro de Referência de Atendimento à Mulher (CRAM) - Casa Eliane de Grammont - São Paulo;Rua Doutor Bacelar, nº 20;Municipal
355030;SÃO PAULO;SP;Centro de Referência da Mulher Casa Brasilândia (CRM) - São Paulo;Rua Silvio Bueno Peruche, nº 538;Municipal
355030;SÃO PAULO;SP;Centro de Defesa e Convivência da Mulher Cidinha Kopcak ;Rua Margarida Cardoso dos Santos, nº 500;Municipal
355030;SÃO PAULO;SP;Centro de Cidadania da Mulher - Capela do Socorro ;Rua Professor Oscar Barreto Filho, nº 350;Municipal
355030;SÃO PAULO;SP;Centro de Cidadania da Mulher - Perus - São Paulo;Rua Joaquim Antônio Arruda, nº 74;Municipal
355030;SÃO PAULO;SP;Centro de Cidadania da Mulher - Santo Amaro;Avenida Mário Lopes Leão, nº 240;Municipal
355220;SOROCABA;SP;Centro de Referência da Mulher Selma Said (CEREM) - Sorocaba;Avenida Juscelino Kubitschek, nº 440       ;Municipal
355280;TABOÃO DA SERRA;SP;Centro de Referência Especializado dos Direitos da Mulher - Taboão da Serra;"Rua Joaquim Faustino de Camargo, nº 140   
Referência: junto ao Centro de Referência de Saúde da Mulher";Municipal
355650;VÁRZEA PAULISTA;SP;Centro de Referência Especializado da Mulher - Várzea Paulista  ;Rua Arajá, nº 199;Municipal
351060;CARAPICUÍBA;SP;Centro de Referência de Enfrentamento a Violência contra as Mulheres (CREVIM) - Carapicuíba ;Rua Sandra Maria, nº 148;Municipal
355030;SÃO PAULO;SP;Centro de Defesa e Convivência da Mulher (CDCM) Vítima de Violência Doméstica - Mulher Ação ;Rua Luís Lopes Correia, nº 116;Municipal
171420;NATIVIDADE;TO;Centro de Referência e Apoio à Mulher em Situação de Violência - Natividade;Rua Major Nunes, nº 84;Municipal
172100;PALMAS;TO;Centro de Referência de Atendimento à Mulher (CRAM) Flor de Lis - Palmas  ;Quadra 504 Sul, Avenida LE 11 Lote 10 - Referência: Dentro do Parque Cesamar ;Municipal
170240;ARRAIAS;TO;Centro Especializado de Atendimento à Mulher (CEAM) - Arraias;Rua 18, Quadra 46, lote 10 - Edifício do Fórum Juiz Alair de Sena Conceição;Estadual
170255;AUGUSTINÓPOLIS;TO;Centro Especializado de Atendimento à Mulher (CEAM) - Augustinópolis;Rua Tiradentes, s/nº;Municipal
120020;CRUZEIRO DO SUL;AC;Casa Abrigo do Juruá - CAJ - Cruzeiro do Sul ;SIGILO;Estadual
120040;RIO BRANCO;AC;Casa Abrigo Mãe da Mata - Rio Branco ;SIGILO;Estadual
270430;MACEIÓ;AL;Casa Abrigo de Maceió Viva Vida - Maceió ;SIGILO;Municipal
130260;MANAUS;AM;Casa Abrigo Antônia Nascimento Priante - Manaus;SIGILO;Estadual
160030;MACAPÁ;AP;Casa Abrigo Fátima Diniz - Macapá ;SIGILO;Estadual
292740;SALVADOR;BA;Casa Abrigo da Mulher - Salvador;SIGILO;Estadual
230440;FORTALEZA;CE;Casa Abrigo Margarida Alves - Fortaleza;SIGILO;Municipal
230440;FORTALEZA;CE;Casa do Caminho - Fortaleza ;SIGILO;Estadual
530010;BRASÍLIA;DF;Casa Abrigo - Brasília ;SIGILO;Estadual
320500;SERRA;ES;Casa Abrigo Marcelle Antonia Brito Goring - Serra ;SIGILO;Municipal
320530;VITÓRIA;ES;Casa Abrigo Estadual Maria Cândida Teixeira (CAES) - Vitória;SIGILO;Estadual
320150;COLATINA;ES;Casa Abrigo Gildete Lopes Barbosa Neves - Colatina ;SIGILO;Municipal
520870;GOIÂNIA;GO;Casa Abrigo Nove Luas - Goiânia;SIGILO;ONG
211130;SÃO LUÍS;MA;Casa Abrigo do Tribunal de Justiça do Maranhão;SIGILO;Federal
210530;IMPERATRIZ;MA;Casa Abrigo da Mulher Doutora Ruth Noleto - Imperatriz ;SIGILO;Municipal
310620;BELO HORIZONTE;MG;Casa Abrigo Sempre Viva - Belo Horizonte;SIGILO;Municipal
317020;UBERLÂNDIA;MG;Casa Abrigo Travessia - Uberlândia ;SIGILO;Municipal
312770;GOVERNADOR VALADARES;MG;Casa Abrigo Coragem de Ser Mulher - Governador Valadares ;SIGILO;Municipal
500270;CAMPO GRANDE;MS;Casa Abrigo para Mulheres em Risco de Vida - Campo Grande ;SIGILO;Estadual
500370;DOURADOS;MS;Casa Abrigo para Mulheres - Dourados;SIGILO;Municipal
510340;CUIABÁ;MT;Casa do Amparo para Mulheres Vítimas de Violência - Cuiabá ;SIGILO;Municipal
510792;SORRISO;MT;Casa Abrigo para Mulheres Vítimas de Violência - Sorriso;SIGILO;Municipal
510840;VÁRZEA GRANDE;MT;Casa de Amparo à Mulher Vitima de Violência - Várzea Grande;SIGILO;Municipal
510760;RONDONÓPOLIS;MT;Casa Abrigo Associação Recanto Fraterno - Rondonópolis ;SIGILO;Municipal
150140;BELÉM;PA;Abrigo Estadual de Mulheres em situação de Violência Doméstica e Familiar - Belém;SIGILO;Estadual
150140;BELÉM;PA;Casa Abrigo Emanuele Rendeiro Diniz - Belém;SIGILO;Municipal
150553;PARAUAPEBAS;PA;Casa Abrigo para Mulheres - Parauapebas;SIGILO;Municipal
150680;SANTARÉM;PA;Casa Abrigo Estadual - Santarém;SIGILO;Estadual
150420;MARABÁ;PA;Casa Abrigo de Mulheres Vítimas de Violência Doméstica e Familiar - Marabá;SIGILO;Estadual
250400;CAMPINA GRANDE;PB;Casa Abrigo da Mulher - Campina Grande  ;SIGILO;Municipal
250750;JOÃO PESSOA;PB;Casa Abrigo Aryane Thaís - João Pessoa  ;SIGILO;Estadual
261160;RECIFE;PE;Casa Abrigo Sempre Viva;SIGILO;Estadual
261110;PETROLINA;PE;Casa Abrigo de Mulheres Marici Amador ;SIGILO;Estadual
260570;FLORESTA;PE;Casa Abrigo Viva Mulher Viva ;SIGILO;ONG
261220;SALGUEIRO;PE;Casa-Abrigo Adalgisa Cavalcanti;SIGILO;Estadual
260290;CABO DE SANTO AGOSTINHO;PE;Casa-Abrigo Jerusa Mendes;SIGILO;Estadual
261160;Governo do Estado opta por não informar nem o município em que está a Casa Cristina Tavares;PE;Casa-Abrigo Cristina Tavares;SIGILO;Estadual
221100;TERERINA;PI;Casa Abrigo Mulher Viva ;SIGILO;Estadual
221060;"SÃO RAIMUNDO
 NONATO";PI;Casa Abrigo;SIGILO;Municipal
410480;CASCAVEL;PR;Serviço de acolhimento Institucional para Mulheres em Situação de Violência Vanusa Covatti - Cascavel;SIGILO;Municipal
410830;FOZ DO IGUAÇU;PR;Casa de Apoio feminina Unidade Casa Abrigo para Mulheres - Foz do Iguaçu;SIGILO;Municipal
411520;MARINGÁ;PR;Casa Abrigo Edna Rodrigues de Souza- Maringá ;SIGILO;Municipal
411370;LONDRINA;PR;Casa Abrigo Canto de Dália -Londrina;SIGILO;Municipal
410690;CURITIBA;PR;Unidade de Acolhimento Institucional (UAI) Casa de Maria - Curitiba;SIGILO;Municipal
330455;RIO DE JANEIRO;RJ;Casa Abrigo Viva Mulher Cora Coralina - Rio de Janeiro;SIGILO;Municipal
330100;CAMPOS DOS GOYTACAZES;RJ;Casa da Mulher Benta Pereira - Campo dos Goytacazes;SIGILO;Estadual
330455;RIO DE JANEIRO;RJ;Casa Abrigo Lar da Mulher - Rio de Janeiro;SIGILO;Estadual
240810;NATAL;RN;Casa Abrigo Clara Camarão - Natal;SIGILO;Municipal
110020;PORTO VELHO;RO;Casa Abrigo para Mulheres em Situação de Violência Doméstica;SIGILO;Municipal
110004;CACOAL;RO;Casa de Acolhida Feminina São Camilo de Cacoal;SIGILO;Privado
140010;BOA VISTA;RR;Casa Abrigo de Maria- Boa Vista;SIGILO;Estadual
430460;CANOAS;RS;Casa Abrigo para Mulheres Vítima de Violência Casa Azul - Canoas;SIGILO;Municipal
431410;PASSO FUNDO;RS;Casa de Apoio à Mulher Vitima de Violência Maria da Penha - Passo Fundo;SIGILO;Municipal
430620;CRUZEIRO DO SUL;RS;Casa Abrigo Associação Casa de Passagem do Vale do Taquari - Cruzeiro do Sul           ;SIGILO;Municipal
431720;SANTA ROSA;RS;Casa de Abrigo e Passagem Oito de Março – Santa Rosa;SIGILO;Municipal
431440;PELOTAS;RS;Abrigo Institucional Acolhida para Mulheres Vítimas de Violência Doméstica Luciety - Pelotas;SIGILO;Municipal
431680;SANTA CRUZ DO SUL;RS;Casa Abrigo - Santa Cruz do Sul;SIGILO;Municipal
431490;PORTO ALEGRE;RS;Casa de Apoio Viva Maria - Porto Alegre;SIGILO;Municipal
431690;SANTA MARIA;RS;Casa de Passagem Mulheres Vitimas de Violência Aconchego – Santa Maria;SIGILO;Municipal
430510;CAXIAS DO SUL;RS;Casa de Apoio Viva Rachel –Caxias do Sul;SIGILO;Municipal
431160;BAGÉ;RS;Casa da Mulher - Bagé;SIGILO;Municipal
420910;JOINVILE;SC;Casa Abrigo Viva Rosa - Joinville;SIGILO;Municipal
420240;BLUMENAU;SC;Casa Abrigo Tritonha Eliza Macqedans Machado - Blumenau  ;SIGILO;Municipal
420460;CRICIÚMA;SC;Casa Abrigo da Mulher- Criciúma;SIGILO;Municipal
280030;ARACAJU;SE;Casa Abrigo Professora Núbia Marques - Aracajú ;SIGILO;Municipal
354850;SANTOS;SP;Seção de Acolhimento e Abrigo Provisório de Mulheres Vítimas de Violência - (CEAPROMVV);SIGILO;Municipal
350950;CAMPINAS;SP;Casa Abrigo da Mulher Sara M - Campinas;SIGILO;Municipal
355030;SÃO PAULO;SP;Casa Abrigo Helenira Resende de Souza Nazareth - São Paulo;SIGILO;Municipal
354780;SANTO ANDRÉ;SP;Casa Abrigo Regional Unidade I;SIGILO;Municipal
351380;DIADEMA;SP;Casa Abrigo Regional Unidade II;SIGILO;Municipal
355030;SÃO PAULO;SP;Centro de Convivência para Mulheres Vítimas de Violência Doméstica (COMVIDA) - São Paulo;SIGILO;Estadual
355220;SOROCABA;SP;Casa Abrigo Valquíria Rocha - Sorocaba;SIGILO;Municipal
354340;RIBEIRÃO PRETO;SP;Casa Abrigo Nilda Simões Rocha - Ribeirão Preto;SIGILO;Municipal
352590;JUNDIAÍ;SP;Casa Abrigo Sol para Mulheres Vítimas de Violência - Jundiaí;SIGILO;Municipal
355220;SOROCABA;SP;Associação de Formação e Reeducação Lua Nova;SIGILO;Municipal
354980;SÃO JOSÉ DO RIO PRETO;SP;Casa Rosa de Curta Permanência - São José do Rio Preto ;SIGILO;Municipal
350320;ARARAQUARA;SP;Casa Abrigo para Mulheres Vítimas de Violência Álaíde Aparecida Kuranaga - Araraquara ;SIGILO;Municipal
354890;SÃO CARLOS;SP;Casa Abrigo Gravelina Terezinha Lemes - São Carlos;SIGILO;Municipal
355030;SÃO PAULO;SP;Casa da Mamãe - São Paulo ;SIGILO;Municipal
172100;PALMAS;TO;Casa Abrigo de Atendimento à Mulher Vítima de Violência - Palmas;SIGILO;Estadual
120040;RIO BRANCO;AC;Vara de Violência Doméstica e Familiar Contra a Mulher - Rio Branco;Rua Benjamin Constant, nº 1190;Estadual
270430;MACEIÓ;AL;Juizado da Violência Doméstica e Familiar Contra a Mulher - Maceió;Praça Sinimbu nº 119;Estadual
130260;MANAUS;AM;1º Juizado Especializado no Combate a Violência Doméstica e Familiar contra a Mulher - Manaus;Avenida Autaz Mirim, s/nº;Estadual
130260;MANAUS;AM;2º Juizado Especializado de Violência Doméstica e Familiar contra a Mulher - Manaus;Avenida Presidente Kennedy, nº 399;Estadual
160030;MACAPÁ;AP;Vara do Juizado de Violência Doméstica e Familiar Contra a Mulher - Macapá;Avenida FAB, n° 1737;Estadual
160060;SANTANA;AP;Juizado de Violência Doméstica Contra a Mulher - Santana;Rua Cláudio Lúcio Monteiro, n° 2100;Estadual
291080;FEIRA DE SANTANA;BA;Vara de Violência Doméstica e Familiar contra a Mulher - Feira de Santana;Avenida dos Pássaros, nº 94;Estadual
292740;SALVADOR;BA;Vara de Violência Doméstica e Familiar Contra a Mulher - Salvador  ;Rua Conselheiro Spínola, nº 77;Estadual
291840;JUAZEIRO ;BA;Vara de Violência Doméstica e Familiar Contra a Mulher - Juazeiro;Rua Carmela Dutra, nº 24,;Estadual
230440;FORTALEZA;CE;Juizado da Violência Doméstica e Familiar Contra a Mulher - Fortaleza;Avenida da Universidade, nº 3281 - ;Estadual
230730;JUAZEIRO DO NORTE;CE;Juizado de Violência Doméstica e Familiar Contra a Mulher - Juazeiro do Norte  ;Rua Manoel Miguel dos Santos, nº 130 ;Estadual
530010;BRASÍLIA;DF;Juizado Especial Cível e Criminal e Juizado de Violência Doméstica e Familiar contra a Mulher - Brazlândia  ;Área Especial nº 4, Rua 10 - Setor Tradicional  ;Estadual
530010;BRASÍLIA;DF;Juizado de Violência Doméstica e Familiar Contra a Mulher - Sobradinho ;Quadra Central -  Lote F - 1° Andar -  sala 122 - Edifício do Fórum ;Estadual
530010;BRASÍLIA;DF;Juizado de Violência Doméstica e Familiar Contra a Mulher - Riacho Fundo ;QS 02 Lote A Sala 145  - Edifício do Fórum ;Estadual
530010;BRASÍLIA;DF;Vara do Juizado de Violência Doméstica e Familiar Contra a Mulher - São Sebastião;CMA - Centro de Múltiplas Atividades - Lote 4 - Cartório do Juizado Especial de Violência Doméstica Contra Mulher, Sala 119 -  Referência: Fórum Desembargador Everards Mota e Matos ;Estadual
530010;BRASÍLIA;DF;1º Juizado de Violência Doméstica e Familiar Contra a Mulher - Brasília ;SMAS (Setor de Múltiplas Atividades Sul) - Trecho 03, lotes 4/6, Bloco 02 – Complemento :  Fórum José Júlio Leal Fagundes - Referência : Próximo a Rodoviária Interestadual e Estação do Mêtro do Parkshopping ;Estadual
530010;BRASÍLIA;DF;2º Juizado de Violência Doméstica e Familiar Contra a Mulher - Brasília;SMAS (Setor de Múltiplas Atividades Sul)  Trecho 03, Lotes 4/6, Bloco 02, Pavimento 1 - Fórum José Júlio Leal Fagundes - Referência: Próximo a Rodoviária Interestadual e Estação do Mêtro do Parkshopping ;Estadual
530010;BRASÍLIA;DF;3º Juizado de Violência Doméstica e Familiar Contra a Mulher - Brasília ;SMAS (Setor de Múltiplas Atividades Sul)  Trecho 03, Lotes 4/6, Bloco 02, Pavimento 1 – Referência : Próximo a Rodoviária Interestadual e Estação do Mêtro do Parkshopping - Complemento: Fórum José Júlio Leal Fagundes ;Estadual
530010;BRASÍLIA;DF;1º Juizado de Violência Doméstica e Familiar Contra a Mulher - Ceilândia ;QNM 11 Área Especial 01, Térreo - Sala 143 - Edifício do Fórum de Ceilândia ;Estadual
530010;BRASÍLIA;DF;1º Juizado Especial Cível e Criminal e 1º Juizado de Violência Doméstica e Familiar Contra a Mulher - Paranoá ;Quadra 03, Área Especial, Lote 02 ;Estadual
530010;BRASÍLIA;DF;3º Juizado de Violência Doméstica e Familiar Contra a Mulher - Samambaia ;Quadra 02 Area Especial 1 e 2 - s/nº - Centro Urbano de Samambaia Sul  - Referência : Fórum de Samambaia ;Estadual
530010;BRASÍLIA;DF;1º Juizado Especial Cível e Criminal e 1º Juizado de Violência Doméstica e Familiar Contra a Mulher - Samambaia ;QR 302, Área Urbana 1 - Referência: Fórum de Samambaia ;Estadual
530010;BRASÍLIA;DF;2º Juizado de Violência Doméstica e Familiar Contra a Mulher - Samambaia ;Quadra 02 Area Especial 1 e 2 - Centro Urbano de Samambaia Sul - Referência : Fórum de Samambaia ;Estadual
530010;BRASÍLIA;DF;Juizado de Violência Doméstica e Familiar Contra a Mulher - Santa Maria ;QR 211 Conjunto A Lote 1 - Sala A10 - Fórum de Santa Maria ;Estadual
530010;BRASÍLIA;DF;Juizado de Violência Doméstica e Familiar Contra a Mulher - Taguatinga ;Setor C Norte Área Especial nº 23 - Salas 51 - Referência : Atrás do Colégio Projeção ;Estadual
