UF;Raça/Cor;Faixa Etária;Situação do Domicílio;Homens;Mulheres
Minas Gerais;Todas;Todas;Urbana;  94.95;  94.48
Pará;Todas;Todas;Rural;  84.01;  87.19
Pará;Branca;Todas;Todas;  92.88;  92.75
Pará;Negra;Todas;Todas;  89.12;  91.61
Pará;Todas;10 a 24 anos;Todas;  96.86;  98.60
Pará;Todas;25 a 49 anos;Todas;  91.61;  95.15
Pará;Todas;50 anos ou mais;Todas;  74.32;  75.76
Pará;Total;Todas;Todas;  89.85;  91.85
Pará;Todas;Todas;Urbana;  92.46;  93.35
Paraíba;Todas;Todas;Rural;  64.20;  78.66
Paraíba;Branca;Todas;Todas;  85.12;  90.82
Paraíba;Negra;Todas;Todas;  78.87;  85.22
Paraíba;Todas;10 a 24 anos;Todas;  95.94;  98.46
Paraíba;Todas;25 a 49 anos;Todas;  81.99;  91.61
Paraíba;Todas;50 anos ou mais;Todas;  59.47;  70.44
Paraíba;Total;Todas;Todas;  81.06;  87.24
Paraíba;Todas;Todas;Urbana;  84.99;  88.86
Paraná;Todas;Todas;Rural;  92.14;  91.79
Paraná;Branca;Todas;Todas;  97.07;  96.39
Paraná;Negra;Todas;Todas;  93.36;  91.68
Paraná;Todas;10 a 24 anos;Todas;  99.25;  99.53
Paraná;Todas;25 a 49 anos;Todas;  97.24;  97.79
Paraná;Todas;50 anos ou mais;Todas;  90.34;  87.45
Paraná;Total;Todas;Todas;  95.82;  94.95
Paraná;Todas;Todas;Urbana;  96.41;  95.33
Pernambuco;Todas;Todas;Rural;  71.79;  75.36
Pernambuco;Branca;Todas;Todas;  89.40;  90.89
Pernambuco;Negra;Todas;Todas;  84.38;  85.14
Pernambuco;Todas;10 a 24 anos;Todas;  97.09;  98.52
Pernambuco;Todas;25 a 49 anos;Todas;  87.32;  91.44
Pernambuco;Todas;50 anos ou mais;Todas;  69.73;  71.01
Pernambuco;Total;Todas;Todas;  85.94;  87.14
Pernambuco;Todas;Todas;Urbana;  89.04;  89.29
Piauí;Todas;Todas;Rural;  66.29;  74.57
Piauí;Branca;Todas;Todas;  81.31;  85.59
Piauí;Negra;Todas;Todas;  77.88;  83.38
Piauí;Todas;10 a 24 anos;Todas;  94.59;  98.93
Piauí;Todas;25 a 49 anos;Todas;  79.57;  88.70
Piauí;Todas;50 anos ou mais;Todas;  55.90;  59.85
Piauí;Total;Todas;Todas;  78.69;  83.92
Piauí;Todas;Todas;Urbana;  85.29;  87.71
Rio de Janeiro;Todas;Todas;Rural;  88.59;  91.86
Rio de Janeiro;Branca;Todas;Todas;  97.69;  97.61
Rio de Janeiro;Negra;Todas;Todas;  96.70;  96.00
Rio de Janeiro;Todas;10 a 24 anos;Todas;  99.22;  99.61
Rio de Janeiro;Todas;25 a 49 anos;Todas;  98.12;  98.78
Rio de Janeiro;Todas;50 anos ou mais;Todas;  94.32;  92.85
Rio de Janeiro;Total;Todas;Todas;  97.16;  96.79
Rio de Janeiro;Todas;Todas;Urbana;  97.40;  96.90
Rio Grande do Norte;Todas;Todas;Rural;  70.91;  80.61
Rio Grande do Norte;Branca;Todas;Todas;  85.71;  89.67
Rio Grande do Norte;Negra;Todas;Todas;  80.66;  85.17
Rio Grande do Norte;Todas;10 a 24 anos;Todas;  97.00;  98.20
Rio Grande do Norte;Todas;25 a 49 anos;Todas;  83.26;  89.37
Rio Grande do Norte;Todas;50 anos ou mais;Todas;  62.20;  70.99
Rio Grande do Norte;Total;Todas;Todas;  82.57;  87.02
Rio Grande do Norte;Todas;Todas;Urbana;  86.13;  88.71
Rio Grande do Sul;Todas;Todas;Rural;  92.22;  91.53
Rio Grande do Sul;Branca;Todas;Todas;  96.61;  96.44
Rio Grande do Sul;Negra;Todas;Todas;  93.30;  93.19
Rio Grande do Sul;Todas;10 a 24 anos;Todas;  99.01;  99.61
Rio Grande do Sul;Todas;25 a 49 anos;Todas;  97.89;  98.27
Rio Grande do Sul;Todas;50 anos ou mais;Todas;  91.04;  90.68
Rio Grande do Sul;Total;Todas;Todas;  95.92;  95.83
Rio Grande do Sul;Todas;Todas;Urbana;  96.60;  96.42
Rondônia;Todas;Todas;Rural;  87.62;  86.94
Rondônia;Branca;Todas;Todas;  95.05;  92.54
Rondônia;Negra;Todas;Todas;  91.40;  92.38
Rondônia;Todas;10 a 24 anos;Todas;  98.95;  99.45
Rondônia;Todas;25 a 49 anos;Todas;  95.92;  96.31
Rondônia;Todas;50 anos ou mais;Todas;  76.62;  74.02
Rondônia;Total;Todas;Todas;  92.50;  92.43
Rondônia;Todas;Todas;Urbana;  94.08;  93.85
Roraima;Todas;Todas;Rural;  86.61;  87.58
Roraima;Branca;Todas;Todas;  93.52;  95.69
Roraima;Negra;Todas;Todas;  92.90;  93.24
Roraima;Todas;10 a 24 anos;Todas;  98.75;  99.44
Roraima;Todas;25 a 49 anos;Todas;  93.70;  95.73
Roraima;Todas;50 anos ou mais;Todas;  80.96;  77.52
Roraima;Total;Todas;Todas;  93.05;  93.81
Roraima;Todas;Todas;Urbana;  94.54;  94.23
Santa Catarina;Todas;Todas;Rural;  94.56;  93.23
Santa Catarina;Branca;Todas;Todas;  97.60;  97.23
Santa Catarina;Negra;Todas;Todas;  95.41;  92.78
Santa Catarina;Todas;10 a 24 anos;Todas;  99.37;  99.91
Santa Catarina;Todas;25 a 49 anos;Todas;  98.83;  98.83
Santa Catarina;Todas;50 anos ou mais;Todas;  92.87;  91.28
Santa Catarina;Total;Todas;Todas;  97.20;  96.60
Santa Catarina;Todas;Todas;Urbana;  97.71;  97.11
São Paulo;Todas;Todas;Rural;  94.27;  93.09
São Paulo;Branca;Todas;Todas;  97.56;  96.90
São Paulo;Negra;Todas;Todas;  95.97;  94.59
São Paulo;Todas;10 a 24 anos;Todas;  99.32;  99.69
São Paulo;Todas;25 a 49 anos;Todas;  97.91;  98.45
São Paulo;Todas;50 anos ou mais;Todas;  93.36;  90.17
São Paulo;Total;Todas;Todas;  96.93;  96.05
São Paulo;Todas;Todas;Urbana;  97.05;  96.11
Sergipe;Todas;Todas;Rural;  68.97;  74.83
Sergipe;Branca;Todas;Todas;  82.95;  86.98
Sergipe;Negra;Todas;Todas;  83.39;  85.11
Sergipe;Todas;10 a 24 anos;Todas;  96.46;  98.40
Sergipe;Todas;25 a 49 anos;Todas;  83.14;  89.92
Sergipe;Todas;50 anos ou mais;Todas;  64.77;  64.62
Sergipe;Total;Todas;Todas;  83.28;  85.58
Sergipe;Todas;Todas;Urbana;  88.50;  89.40
