UF;Raça/Cor;Situação do Domicílio;Tipo de família;Famílias
Maranhão;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;387133
Maranhão;Todas as raças;Todos as situações;Outros;81257
Maranhão;Todas as raças;Todos as situações;Unipessoal;91998
Maranhão;Todas as raças;Todos as situações;Casal com filhas/os;256822
Maranhão;Todas as raças;Todos as situações;Casal sem filhas/os;84324
Mato Grosso;Branca;Todos as situações;Outros tipos;138808
Mato Grosso;Negra;Todos as situações;Outros tipos;263058
Mato Grosso;Outras;Todos as situações;Outros tipos;5140
Mato Grosso;Todas as raças;Rural;Outros tipos;265200
Mato Grosso;Todas as raças;Urbana;Outros tipos;141806
Mato Grosso;Todas as raças;Todos as situações;Unipessoal;70694
Mato Grosso;Todas as raças;Todos as situações;Outros;24423
Mato Grosso;Todas as raças;Todos as situações;Casal com filhas/os;119536
Mato Grosso;Todas as raças;Todos as situações;Todos os tipos;407006
Mato Grosso;Todas as raças;Todos as situações;Casal sem filhas/os;56556
Mato Grosso;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;135797
Mato Grosso do Sul;Branca;Todos as situações;Outros tipos;148352
Mato Grosso do Sul;Negra;Todos as situações;Outros tipos;195971
Mato Grosso do Sul;Outras;Todos as situações;Outros tipos;8430
Mato Grosso do Sul;Todas as raças;Rural;Outros tipos;200609
Mato Grosso do Sul;Todas as raças;Urbana;Outros tipos;152144
Mato Grosso do Sul;Todas as raças;Todos as situações;Casal com filhas/os;83035
Mato Grosso do Sul;Todas as raças;Todos as situações;Unipessoal;62788
Mato Grosso do Sul;Todas as raças;Todos as situações;Todos os tipos;352753
Mato Grosso do Sul;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;143293
Mato Grosso do Sul;Todas as raças;Todos as situações;Outros;26130
Mato Grosso do Sul;Todas as raças;Todos as situações;Casal sem filhas/os;37507
Minas Gerais;Branca;Todos as situações;Outros tipos;1136816
Minas Gerais;Negra;Todos as situações;Outros tipos;1537743
Minas Gerais;Outras;Todos as situações;Outros tipos;17384
Minas Gerais;Todas as raças;Rural;Outros tipos;1544313
Minas Gerais;Todas as raças;Urbana;Outros tipos;1147630
Minas Gerais;Todas as raças;Todos as situações;Casal sem filhas/os;232277
Minas Gerais;Todas as raças;Todos as situações;Outros;187152
Minas Gerais;Todas as raças;Todos as situações;Unipessoal;533515
Minas Gerais;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;1217412
Minas Gerais;Todas as raças;Todos as situações;Todos os tipos;2691943
Minas Gerais;Todas as raças;Todos as situações;Casal com filhas/os;521587
Pará;Branca;Todos as situações;Outros tipos;186615
Pará;Negra;Todos as situações;Outros tipos;703207
Pará;Outras;Todos as situações;Outros tipos;7384
Pará;Todas as raças;Rural;Outros tipos;705958
Pará;Todas as raças;Urbana;Outros tipos;191248
Pará;Todas as raças;Todos as situações;Casal sem filhas/os;86845
Pará;Todas as raças;Todos as situações;Todos os tipos;897206
Pará;Todas as raças;Todos as situações;Outros;72320
Pará;Todas as raças;Todos as situações;Casal com filhas/os;234999
Pará;Todas as raças;Todos as situações;Unipessoal;89069
